Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Info,Payload Content,Class
10.10.5.68-224.0.0.251-5353-5353-17,10.10.5.68,5353,224.0.0.251,5353,17,2026-03-13 18:45:35,2009120,6,0,838,0,168,103,139.66666666666666,28.05153986662566,0,0,0,0,417.09783758228446,2.986380698679841,0.4018241882324219,0.47629577058063854,0.993441104888916,0.005611896514892578,2.0091209411621094,0.4018241882324219,0.47629577058063854,0.993441104888916,0.005611896514892578,0,0,0,0,0,0,0,0,0,168,0,2.986380698679841,0.0,103,168,139.66666666666666,28.05153986662566,786.8888888888888,0,0,0,0,0,0,0,0,0.0,139.66666666666666,139.66666666666666,0,168,0,0,0,0,0,0,6,838,0,0,-1,-1,6,103,0.0002714395523071289,0.00018393993377685547,0.0004553794860839844,8.749961853027344e-05,0,0,0,0,MDNS Standard query 0x1 PTR _googlecast._tcp.local.,UDP: 00 01 00 00 00 02 00 00 00 00 00 00 0b 5f 67 6f 6f 67 6c 65 63 61 73 74 04 5f 74 63 70 05 6c 6f ............._googlecast._tcp.lo,Benign
10.10.9.161-162.159.136.234-1663-443-6,162.159.136.234,443,10.10.9.161,1663,6,2026-03-13 18:45:35,1838461,10,9,2912,486,469,104,291.2,141.72706163608981,54,54,54.0,0.0,1848.284179571494,10.334726136509236,0.21046917578753302,0.2892766031381145,1.0198619365692139,0.022967100143432617,1.7927989959716797,0.19919988844129774,0.2754806311764392,0.9679369926452637,0.022967100143432617,1.7851769924163818,0.22314712405204773,0.3035500751934538,1.0198619365692139,0.05144691467285156,10,10,0,0,400,360,5.4393295455311765,4.895396590978059,54,469,178.8421052631579,156.84026844562013,24598.869806094182,0,0,0,10,19,0,0,0,0.9,178.8421052631579,291.2,54.0,400,0,0,0,0,0,0,10,2912,9,486,48,514,10,54,0.0001289844512939453,0.00011609491530316246,0.0004057884216308594,1.7642974853515625e-05,0,0,0,0,"TLSv1.x Application Data, 443 -> 1663 [ACK, PSH] Seq=2732762762 Ack=2452239280 Win=48 Len=409",TCP: 17 03 03 01 94 06 ab 89 ec 35 6f 68 49 2e 82 92 95 32 64 2a b5 cd aa f5 51 6f b7 ce 28 f9 e7 b8 .........5ohI....2d*....Qo..(...,Benign
10.10.9.161-162.159.133.232-3288-443-6,10.10.9.161,3288,162.159.133.232,443,6,2026-03-13 18:45:35,38190,1,1,55,66,55,55,55.0,0,66,66,66.0,0,3168.3581947921416,52.36955693871308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,52,26.18477846935654,26.18477846935654,55,66,60.5,5.5,30.25,0,0,0,0,2,0,0,0,1.0,60.5,55.0,66.0,40,0,0,0,0,0,0,1,55,1,66,4123,16,1,55,2.002716064453125e-05,0,2.002716064453125e-05,2.002716064453125e-05,0,0,0,0,TLS 3288 -> 443 [ACK] Seq=531936422 Ack=1565177407 Win=4123 Len=1,TCP: 00 .,Benign
10.10.9.161-172.67.68.179-63274-443-17,10.10.9.161,63274,172.67.68.179,443,17,2026-03-13 18:45:35,410288,9,10,5467,5195,1292,85,607.4444444444445,583.8101120343671,1242,66,519.5,504.72274567330527,25986.57268042555,46.30884270569175,0.043226704877965594,0.0728649461803515,0.233123779296875,0.0,0.41028881072998047,0.05128610134124756,0.07446725531141896,0.233123779296875,6.4849853515625e-05,0.32456517219543457,0.03606279691060384,0.07064276672548611,0.22832798957824707,0.0,0,0,0,0,252,280,21.935767597432935,24.373075108258817,66,1292,561.1578947368421,545.3919173312937,297452.3434903047,0,0,0,0,0,0,0,0,1.1111111111111112,561.1578947368421,607.4444444444445,519.5,252,0,0,0,0,0,0,9,5467,10,5195,-1,-1,9,66,0,0,0,0,0,0,0,0,UDP 63274 -> 443 Len=1258,UDP: c8 00 00 00 01 08 2f dd dd 4b 96 77 7b 08 00 00 44 d0 07 10 0a 74 68 87 4b f4 e8 61 cc 3c 86 46 ....../..K.w{...D....th.K..a.<.F,Benign
10.10.9.161-8.8.8.8-64065-53-17,10.10.9.161,64065,8.8.8.8,53,17,2026-03-13 18:45:35,51539,1,1,70,146,70,70,70.0,0,146,146,146.0,0,4190.927974687058,38.804888654509796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,19.402444327254898,19.402444327254898,70,146,108.0,38.0,1444.0,0,0,0,0,0,0,0,0,1.0,108.0,70.0,146.0,28,0,0,0,0,0,0,1,70,1,146,-1,-1,1,70,0,0,0,0,0,0,0,0,DNS Standard query 0x28df 65 dns.google.,UDP: 28 df 01 00 00 01 00 00 00 00 00 00 03 64 6e 73 06 67 6f 6f 67 6c 65 00 00 41 00 01 (............dns.google..A..,Benign
10.10.9.161-8.8.8.8-55666-53-17,10.10.9.161,55666,8.8.8.8,53,17,2026-03-13 18:45:35,50201,1,1,70,102,70,70,70.0,0,102,102,102.0,0,3426.165632925219,39.83913526657231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,19.919567633286157,19.919567633286157,70,102,86.0,16.0,256.0,0,0,0,0,0,0,0,0,1.0,86.0,70.0,102.0,28,0,0,0,0,0,0,1,70,1,102,-1,-1,1,70,0,0,0,0,0,0,0,0,DNS Standard query 0x2811 A dns.google.,UDP: 28 11 01 00 00 01 00 00 00 00 00 00 03 64 6e 73 06 67 6f 6f 67 6c 65 00 00 01 00 01 (............dns.google.....,Benign
10.10.9.161-8.8.4.4-49211-443-17,10.10.9.161,49211,8.8.4.4,443,17,2026-03-13 18:45:36,135421,9,11,3612,5634,1292,73,401.3333333333333,482.3774455755576,1292,64,512.1818181818181,471.09559311379644,68275.46920515985,147.68650055193564,0.010226209958394369,0.018111260595572713,0.046790122985839844,0.0,0.09269189834594727,0.011586487293243408,0.01932570450302678,0.046790122985839844,8.511543273925781e-05,0.09137988090515137,0.009137988090515137,0.016999446304006478,0.04314994812011719,0.0,0,0,0,0,252,308,66.45892524837105,81.2275753035646,64,1292,462.3,479.3879535407622,229812.81,0,0,0,0,0,0,0,0,1.2222222222222223,462.3,401.3333333333333,512.1818181818181,252,0,0,0,0,0,0,9,3612,11,5634,-1,-1,9,64,0.0011104345321655273,0.0010894536972045898,0.002199888229370117,2.09808349609375e-05,0,0,0,0,UDP 49211 -> 443 Len=1258,UDP: c9 00 00 00 01 08 2a 0c 10 ed 52 79 5d a4 00 40 46 00 52 4f 20 4f 8f 9a d3 a1 0d a2 11 10 89 95 ......*...Ry]..@F.RO O..........,Benign
10.10.9.161-172.217.194.95-65522-443-17,10.10.9.161,65522,172.217.194.95,443,17,2026-03-13 18:45:36,134207,9,12,3671,4977,1292,73,407.8888888888889,493.41473302429074,1292,64,414.75,473.73254145491563,64437.30868044391,156.4735756578772,0.010312155673378393,0.02071688933321345,0.07204484939575195,0.0,0.13420796394348145,0.01677599549293518,0.027006049450380352,0.07204484939575195,6.413459777832031e-05,0.06172299385070801,0.0056111812591552734,0.012586595854820571,0.04455995559692383,0.0,0,0,0,0,252,336,67.06010385337595,89.41347180450126,64,1292,411.8095238095238,482.27808803118074,232592.15419501133,0,0,0,0,0,0,0,0,1.3333333333333333,411.8095238095238,407.8888888888889,414.75,252,0,0,0,0,0,0,9,3671,12,4977,-1,-1,9,64,0.00032599767049153644,0.0003546332085681711,0.0008273124694824219,6.270408630371094e-05,0,0,0,0,UDP 65522 -> 443 Len=1258,UDP: c2 00 00 00 01 08 c1 cd e5 9a fa 53 44 a5 00 40 46 00 7c b5 3a 5e ea 92 01 ae af d3 10 c4 16 59 ...........SD..@F.|.:^.........Y,Benign
10.10.9.161-10.10.9.251-3450-8009-6,10.10.9.161,3450,10.10.9.251,8009,6,2026-03-13 18:45:36,63688,2,1,218,164,164,54,109.0,55.0,164,164,164.0,0,5997.986455880537,47.104605674454476,0.06368803977966309,0,0.06368803977966309,0.06368803977966309,0.06368803977966309,0.06368803977966309,0,0.06368803977966309,0.06368803977966309,0,0,0,0,0,2,2,0,0,80,40,31.403070449636314,15.701535224818157,54,164,127.33333333333333,51.85449728701349,2688.888888888889,0,0,0,2,3,0,0,0,0.5,127.33333333333333,109.0,164.0,80,0,0,0,0,0,0,2,218,1,164,508,1597,2,54,0,0,0,0,0,0,0,0,"3450 -> 8009 [ACK, PSH] Seq=2096594171 Ack=119625378 Win=508 Len=110",TCP: 17 03 03 00 69 65 b9 f6 82 bc a1 dd 0d 93 bb fb 04 d1 98 a3 c3 fd d9 6a 65 d0 19 bd 86 da 2e ed ....ie.................je.......,Benign
10.10.9.251-224.0.0.251-5353-5353-17,10.10.9.251,5353,224.0.0.251,5353,17,2026-03-13 18:45:36,1000223,7,0,3133,0,454,439,447.57142857142856,7.423074889580903,0,0,0,0,3132.2987564725095,6.998433225441292,0.16670397917429605,0.3615591135676563,0.9749331474304199,0.0,1.0002238750457764,0.16670397917429605,0.3615591135676563,0.9749331474304199,0.0,0,0,0,0,0,0,0,0,0,196,0,6.998433225441292,0.0,439,454,447.57142857142856,7.423074889580903,55.10204081632653,0,0,0,0,0,0,0,0,0.0,447.57142857142856,447.57142857142856,0,196,0,0,0,0,0,0,7,3133,0,0,-1,-1,7,439,0,0,0,0,0,0,0,0,MDNS Standard query response 0x0 ?,UDP: 00 00 84 00 00 00 00 01 00 00 00 03 0b 5f 67 6f 6f 67 6c 65 63 61 73 74 04 5f 74 63 70 05 6c 6f ............._googlecast._tcp.lo,Benign
