Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Info,Payload Content
162.159.130.234-192.168.10.103-443-23609-6,162.159.130.234,443,192.168.10.103,23609,6,2026-02-26 18:42:24,29764789,95,65,27532,3631,1406,60,289.81052631578945,266.3017795357994,175,54,55.86153846153846,14.892307692307693,1046.9753335268463,5.3754790413084566,0.37624114676366877,0.3649005318817526,1.7377128601074219,0.0,29.714181184768677,0.31610831047626253,0.36099148162465555,1.7377128601074219,0.0,29.73192000389099,0.46456125006079674,0.3524325018573589,1.7281990051269531,9.608268737792969e-05,95,95,0,0,3800,2600,3.1916906807768957,2.1837883605315604,54,1406,194.76875,235.36958230289127,55398.84027343751,0,0,0,95,160,0,0,0,0.6842105263157895,194.76875,289.81052631578945,55.86153846153846,3800,0,0,0,0,0,0,95,27532,65,3631,16,510,95,54,0.0015903698219047798,0.0019068152077949172,0.009250402450561523,2.384185791015625e-07,1.4863988161087036,0.14676984030777326,1.6801939010620117,1.2942407131195068,"TLSv1.x Application Data, 443 -> 23609 [ACK, PSH] Seq=448943833 Ack=3487583708 Win=16 Len=472",TCP: 17 03 03 01 d3 26 47 bb 40 79 c1 33 76 21 b1 cd a7 e7 b9 cd 5d 77 0b 30 ce 87 16 03 d4 3b b5 be .....&G.@y.3v!......]w.0.....;..
192.168.10.103-35.186.224.35-23611-443-6,192.168.10.103,23611,35.186.224.35,443,6,2026-02-26 18:42:24,115789,1,1,89,54,89,89,89.0,0,54,54,54.0,0,1235.003185388805,17.27277182361965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,40,40,8.636385911809825,8.636385911809825,54,89,71.5,17.5,306.25,0,0,0,1,2,0,0,0,1.0,71.5,89.0,54.0,40,0,0,0,0,0,0,1,89,1,54,509,1050,1,54,0.00014066696166992188,0,0.00014066696166992188,0.00014066696166992188,0,0,0,0,"TLSv1.x Application Data, 23611 -> 443 [ACK, PSH] Seq=4000623294 Ack=1078744588 Win=509 Len=35",TCP: 17 03 03 00 1e 00 00 00 00 00 00 00 0d 47 4c 81 8d 63 0c 3e 79 07 16 c6 35 73 7e 14 36 66 3c fa .............GL..c.>y...5s~.6f<.
104.199.241.202-192.168.10.103-443-23618-6,104.199.241.202,443,192.168.10.103,23618,6,2026-02-26 18:42:24,46591,1,1,65,54,65,65,65.0,0,54,54,54.0,0,2554.1389746030286,42.92670545551308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,40,40,21.46335272775654,21.46335272775654,54,65,59.5,5.5,30.25,0,0,0,1,2,0,0,0,1.0,59.5,65.0,54.0,40,0,0,0,0,0,0,1,65,1,54,11,513,1,54,3.552436828613281e-05,0,3.552436828613281e-05,3.552436828613281e-05,0,0,0,0,"TLS 443 -> 23618 [ACK, PSH] Seq=1313892640 Ack=2131025518 Win=11 Len=11",TCP: ff 1c d8 49 4c 6b 5d d4 89 f8 ba ...ILk]....
192.168.10.103-239.255.255.250-63191-1900-17,192.168.10.103,63191,239.255.255.250,1900,17,2026-02-26 18:42:24,1007648,2,0,424,0,212,212,212.0,0.0,0,0,0,0,420.7814657724117,1.984818234775527,1.0076489448547363,0,1.0076489448547363,1.0076489448547363,1.0076489448547363,1.0076489448547363,0,1.0076489448547363,1.0076489448547363,0,0,0,0,0,0,0,0,0,56,0,1.984818234775527,0.0,212,212,212.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,212.0,212.0,0,56,0,0,0,0,0,0,2,424,0,0,-1,-1,2,212,0.00019240379333496094,0,0.00019240379333496094,0.00019240379333496094,1.0083990097045898,0,1.0083990097045898,1.0083990097045898,UDP 63191 -> 1900 Len=178,UDP: 4d 2d 53 45 41 52 43 48 20 2a 20 48 54 54 50 2f 31 2e 31 0d 0a 48 4f 53 54 3a 20 32 33 39 2e 32 M-SEARCH * HTTP/1.1..HOST: 239.2
192.168.10.103-44.241.124.75-15835-443-6,192.168.10.103,15835,44.241.124.75,443,6,2026-02-26 18:42:25,448651,3,3,162,186,54,54,54.0,0.0,78,54,62.0,11.313708498984761,775.6584551108286,13.373421639841872,0.11218255758285522,0.11219172856294511,0.2279059886932373,0.0,0.22794413566589355,0.11397206783294678,0.11393392086029053,0.2279059886932373,3.814697265625e-05,0.22078609466552734,0.11039304733276367,0.11039304733276367,0.22078609466552734,0.0,1,1,0,0,120,120,6.686710819920936,6.686710819920936,54,78,58.0,8.94427190999916,80.0,2,0,2,1,5,0,0,0,1.0,58.0,54.0,62.0,120,0,0,0,0,0,0,3,162,3,186,513,649,3,54,0.002151966094970703,0.0010058232727627513,0.0033605098724365234,0.0002930164337158203,0,0,0,0,"TLS 15835 -> 443 [FIN, ACK] Seq=3009086250 Ack=762263849 Win=513 Len=0",TCP: No payload data
100.21.131.68-192.168.10.103-443-15833-6,192.168.10.103,15833,100.21.131.68,443,6,2026-02-26 18:42:25,540971,3,3,162,186,54,54,54.0,0.0,78,54,62.0,11.313708498984761,643.2865353519015,11.091147161239682,0.13526123762130737,0.13781759214073935,0.3079969882965088,0.0,0.2330479621887207,0.11652398109436035,0.11648893356323242,0.23301291465759277,3.504753112792969e-05,0.3079969882965088,0.1539984941482544,0.1539984941482544,0.3079969882965088,0.0,1,1,0,0,120,120,5.545573580619841,5.545573580619841,54,78,58.0,8.94427190999916,80.0,2,0,2,1,5,0,0,0,1.0,58.0,54.0,62.0,120,0,0,0,0,0,0,3,162,3,186,517,669,3,54,0.001575787862141927,0.0013118633504851534,0.0033605098724365234,0.0002446174621582031,0,0,0,0,"TLS 15833 -> 443 [FIN, ACK] Seq=1599337022 Ack=1263918664 Win=517 Len=0",TCP: No payload data
192.168.10.103-44.241.124.75-15831-443-6,44.241.124.75,443,192.168.10.103,15831,6,2026-02-26 18:42:26,25181544,3,0,198,0,66,66,66.0,0.0,0,0,0,0,7.8629014759846685,0.11913487084825256,12.590772032737732,4.100065112113953,16.690837144851685,8.49070692062378,25.181544065475464,12.590772032737732,4.100065112113953,16.690837144851685,8.49070692062378,0,0,0,0,0,0,0,0,0,156,0,0.11913487084825256,0.0,66,66,66.0,0.0,0.0,0,3,0,0,3,0,0,0,0.0,66.0,66.0,0,156,0,0,0,0,0,0,3,198,0,0,62727,-1,3,66,0.0020542144775390625,0.002138625977400082,0.005031108856201172,0.000102996826171875,12.590206265449524,4.0996023416519165,16.68980860710144,8.490603923797607,"TLS 443 -> 15831 [SYN, ACK] Seq=2518689216 Ack=252696098 Win=62727 Len=0",TCP: No payload data
192.168.10.1-192.168.10.103-53-62850-17,192.168.10.103,62850,192.168.10.1,53,17,2026-02-26 18:42:27,18784,1,1,76,171,76,76,76.0,0,171,171,171.0,0,13149.45660396517,106.47333282562892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,53.23666641281446,53.23666641281446,76,171,123.5,47.5,2256.25,0,0,0,0,0,0,0,0,1.0,123.5,76.0,171.0,28,0,0,0,0,0,0,1,76,1,171,-1,-1,1,76,0.0070645809173583984,0,0.0070645809173583984,0.0070645809173583984,0,0,0,0,DNS Standard query 0x3fb4 65 cdn.jsdelivr.net.,UDP: 3f b4 01 00 00 01 00 00 00 00 00 00 03 63 64 6e 08 6a 73 64 65 6c 69 76 72 03 6e 65 74 00 00 41 ?............cdn.jsdelivr.net..A
192.168.10.1-192.168.10.103-53-65320-17,192.168.10.103,65320,192.168.10.1,53,17,2026-02-26 18:42:27,22633,1,1,76,294,76,76,76.0,0,294,294,294.0,0,16347.756030759507,88.36624881491625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,44.18312440745812,44.18312440745812,76,294,185.0,109.0,11881.0,0,0,0,0,0,0,0,0,1.0,185.0,76.0,294.0,28,0,0,0,0,0,0,1,76,1,294,-1,-1,1,76,0,0,0,0,0,0,0,0,DNS Standard query 0x6d23 AAAA cdn.jsdelivr.net.,UDP: 6d 23 01 00 00 01 00 00 00 00 00 00 03 63 64 6e 08 6a 73 64 65 6c 69 76 72 03 6e 65 74 00 00 1c m#...........cdn.jsdelivr.net...
192.168.10.1-192.168.10.103-53-58437-17,192.168.10.103,58437,192.168.10.1,53,17,2026-02-26 18:42:27,20248,1,1,76,246,76,76,76.0,0,246,246,246.0,0,15902.668032545598,98.77433560587328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,49.38716780293664,49.38716780293664,76,246,161.0,85.0,7225.0,0,0,0,0,0,0,0,0,1.0,161.0,76.0,246.0,28,0,0,0,0,0,0,1,76,1,246,-1,-1,1,76,0,0,0,0,0,0,0,0,DNS Standard query 0x4148 A cdn.jsdelivr.net.,UDP: 41 48 01 00 00 01 00 00 00 00 00 00 03 63 64 6e 08 6a 73 64 65 6c 69 76 72 03 6e 65 74 00 00 01 AH...........cdn.jsdelivr.net...
