Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Info,Payload Content,Class
10.10.128.231-35.215.137.92-52136-50004-17,35.215.137.92,50004,10.10.128.231,52136,17,2026-03-03 19:12:14,16566020,4754,422,4950794,44804,1259,60,1041.3954564577198,302.9425666419384,134,50,106.17061611374407,16.530577414833317,301556.92172355903,312.44680353405965,0.006387591961041167,0.013232664484700642,0.15368413925170898,0.0,16.566020011901855,0.0034853818665899127,0.007152136073353369,0.15368413925170898,0.0,16.483380794525146,0.03915292350243503,0.020144915916341537,0.14100885391235352,1.6927719116210938e-05,0,0,0,0,133112,11816,286.9729721794667,25.473831354592964,50,1259,965.1464451313756,387.0531903235058,149810.17213960402,0,0,0,0,0,0,0,0,0.08876735380732015,965.1464451313756,1041.3954564577198,106.17061611374407,133112,0,0,0,0,0,0,4754,4950794,422,44804,-1,-1,4754,50,0.00022289467828571038,0.00014827489568575747,0.0005822181701660156,2.384185791015625e-06,0,0,0,0,UDP 50004 -> 52136 Len=402,UDP: 90 78 5b 82 c1 d2 f1 31 00 00 15 04 be de 00 02 c9 b6 8f 3e 1f 76 69 63 60 a3 04 6c d8 57 b2 44 .x[....1...........>.vic`..l.W.D,Benign
10.10.128.231-104.29.157.224-59087-19298-17,104.29.157.224,19298,10.10.128.231,59087,17,2026-03-03 19:12:14,29896615,2665,744,657052,140508,457,60,246.5485928705441,80.97510320181948,389,50,188.8548387096774,115.27631788808229,26677.26676754004,114.02628317686944,0.017100252082070052,0.046322274830620756,2.108225107192993,0.0,29.893284797668457,0.011221203002127799,0.008408372691401737,0.1566469669342041,0.0,28.367274045944214,0.03817937287475668,0.09496064999835031,2.108225107192993,4.1961669921875e-05,0,0,0,0,74620,20832,89.14052351609183,24.88575966077761,50,457,233.95717219125842,92.70397463546028,8594.026913212063,0,0,0,0,0,0,0,0,0.2791744840525328,233.95717219125842,246.5485928705441,188.8548387096774,74620,0,0,0,0,0,0,2665,657052,744,140508,-1,-1,2665,50,0.0002236135099110141,0.0001526848124111873,0.0006089210510253906,1.430511474609375e-06,0,0,0,0,UDP 19298 -> 59087 Len=184,UDP: 90 78 29 97 c0 59 2d cf 00 00 02 3c be de 00 02 a4 bb 29 38 e4 4c 18 e8 4b c5 64 32 f3 6f fe bd .x)..Y-....<......)8.L..K.d2.o..,Benign
10.10.128.231-162.159.134.234-5429-443-6,162.159.134.234,443,10.10.128.231,5429,6,2026-03-03 19:12:14,29542134,148,117,53376,6598,1506,60,360.64864864864865,294.2970521948976,216,54,56.39316239316239,18.373595540236334,2030.1173877787153,8.970238899545796,0.22440384005412403,0.2286578586685496,1.1988029479980469,0.0,29.542134046554565,0.2009668982758814,0.2261960037121899,1.1980760097503662,0.0,29.476075887680054,0.2541041024800005,0.22830958004560117,1.1988029479980469,0.0003750324249267578,147,147,0,0,5920,4680,5.009793800501048,3.9604450990447475,54,1506,226.31698113207548,267.1076341144281,71346.48820220718,0,0,0,147,265,0,0,0,0.7905405405405406,226.31698113207548,360.64864864864865,56.39316239316239,5920,0,0,0,0,0,0,148,53376,117,6598,54,514,148,54,0.0001251543721845073,0.00014344744286552786,0.0006117820739746094,1.621246337890625e-05,1.1460673809051514,0.011793375015258789,1.1578607559204102,1.1342740058898926,"TLSv1.x Application Data, 443 -> 5429 [ACK, PSH] Seq=370616458 Ack=2562075675 Win=54 Len=882",TCP: 17 03 03 03 6d 3c df f9 e1 aa 9b b5 c2 15 f4 96 da 0d 1f ee a2 cd 0a 56 cf 29 d7 4a e1 2e dd 30 ....m<.................V.).J...0,Benign
10.10.128.238-224.0.0.251-5353-5353-17,10.10.128.238,5353,224.0.0.251,5353,17,2026-03-03 19:12:14,1,1,0,167,0,167,167,167.0,0,0,0,0,0,167000000.0,1000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,1000000.0,0.0,167,167,167.0,0,0,0,0,0,0,0,0,0,0,0.0,167.0,167.0,0,28,0,0,0,0,0,0,1,167,0,0,-1,-1,1,167,0,0,0,0,0,0,0,0,MDNS Standard query response 0x0 ?,UDP: 00 00 84 00 00 00 00 02 00 00 00 01 07 5f 72 64 6c 69 6e 6b 04 5f 74 63 70 05 6c 6f 63 61 6c 00 ............._rdlink._tcp.local.,Benign
10.10.128.232-224.0.0.251-5353-5353-17,10.10.128.232,5353,224.0.0.251,5353,17,2026-03-03 19:12:15,1,1,0,216,0,216,216,216.0,0,0,0,0,0,216000000.0,1000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,1000000.0,0.0,216,216,216.0,0,0,0,0,0,0,0,0,0,0,0.0,216.0,216.0,0,28,0,0,0,0,0,0,1,216,0,0,-1,-1,1,216,0,0,0,0,0,0,0,0,MDNS Standard query 0x0 PTR _companion-link._tcp.local.,UDP: 00 00 00 00 00 02 00 04 00 00 00 00 0f 5f 63 6f 6d 70 61 6e 69 6f 6e 2d 6c 69 6e 6b 04 5f 74 63 ............._companion-link._tc,Benign
10.10.129.134-224.0.0.251-5353-5353-17,10.10.129.134,5353,224.0.0.251,5353,17,2026-03-03 19:12:15,21269842,13,0,1620,0,512,87,124.61538461538461,112.41375392275587,0,0,0,0,76.16417339931371,0.6111939840685667,1.7724869052569072,0.6484774366221568,3.1884729862213135,0.7398049831390381,21.269842863082886,1.7724869052569072,0.6484774366221568,3.1884729862213135,0.7398049831390381,0,0,0,0,0,0,0,0,0,364,0,0.6111939840685667,0.0,87,512,124.61538461538461,112.41375392275587,12636.852071005913,0,0,0,0,0,0,0,0,0.0,124.61538461538461,124.61538461538461,0,364,0,0,0,0,0,0,13,1620,0,0,-1,-1,13,87,0.00013168652852376303,8.799816984711109e-05,0.0002560615539550781,6.580352783203125e-05,1.9722647190093994,0.5212606837305439,3.188703775405884,1.1202361583709717,MDNS Standard query 0x0 PTR _spotify-connect._tcp.local.,UDP: 00 00 00 00 00 01 00 00 00 00 00 00 10 5f 73 70 6f 74 69 66 79 2d 63 6f 6e 6e 65 63 74 04 5f 74 ............._spotify-connect._t,Benign
10.10.129.43-224.0.0.251-5353-5353-17,10.10.129.43,5353,224.0.0.251,5353,17,2026-03-03 19:12:15,1,1,0,365,0,365,365,365.0,0,0,0,0,0,365000000.0,1000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,1000000.0,0.0,365,365,365.0,0,0,0,0,0,0,0,0,0,0,0.0,365.0,365.0,0,28,0,0,0,0,0,0,1,365,0,0,-1,-1,1,365,0,0,0,0,0,0,0,0,MDNS Standard query response 0x0 ?,UDP: 00 00 84 00 00 00 00 02 00 00 00 06 0f 5f 63 6f 6d 70 61 6e 69 6f 6e 2d 6c 69 6e 6b 04 5f 74 63 ............._companion-link._tc,Benign
10.10.129.134-239.255.255.250-41871-1900-17,10.10.129.134,41871,239.255.255.250,1900,17,2026-03-03 19:12:15,18006032,10,0,1670,0,167,167,167.0,0.0,0,0,0,0,92.74669246797814,0.5553694159759169,2.0006703270806208,0.018217382796073035,2.0467588901519775,1.9766261577606201,18.006032943725586,2.0006703270806208,0.018217382796073035,2.0467588901519775,1.9766261577606201,0,0,0,0,0,0,0,0,0,280,0,0.5553694159759169,0.0,167,167,167.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,167.0,167.0,0,280,0,0,0,0,0,0,10,1670,0,0,-1,-1,10,167,0.00025665760040283203,8.985889972636263e-05,0.0003955364227294922,0.00017523765563964844,2.002027405632867,0.019029041588321537,2.0479092597961426,1.9763495922088623,UDP 41871 -> 1900 Len=133,UDP: 4d 2d 53 45 41 52 43 48 20 2a 20 48 54 54 50 2f 31 2e 31 0d 0a 48 4f 53 54 3a 20 32 33 39 2e 32 M-SEARCH * HTTP/1.1..HOST: 239.2,Benign
10.10.128.231-150.171.28.11-8884-443-6,10.10.128.231,8884,150.171.28.11,443,6,2026-03-03 19:12:15,9985,1,1,55,66,55,55,55.0,0,66,66,66.0,0,12117.056250596886,200.2819214974692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,52,100.1409607487346,100.1409607487346,55,66,60.5,5.5,30.25,0,0,0,0,2,0,0,0,1.0,60.5,55.0,66.0,40,0,0,0,0,0,0,1,55,1,66,517,16382,1,55,0,0,0,0,0,0,0,0,TLS 8884 -> 443 [ACK] Seq=3943693983 Ack=2705891576 Win=517 Len=1,TCP: 00 .,Benign
10.10.128.186-239.255.255.250-55959-1900-17,10.10.128.186,55959,239.255.255.250,1900,17,2026-03-03 19:12:15,20109809,8,0,1336,0,167,167,167.0,0.0,0,0,0,0,66.43523774078251,0.39781579485498514,2.8728299822126115,4.384413733777395,9.809950828552246,0.09201812744140625,20.10980987548828,2.8728299822126115,4.384413733777395,9.809950828552246,0.09201812744140625,0,0,0,0,0,0,0,0,0,224,0,0.39781579485498514,0.0,167,167,167.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,167.0,167.0,0,224,0,0,0,0,0,0,8,1336,0,0,-1,-1,8,167,0.0002570152282714844,0.0001331728372305139,0.0004200935363769531,7.128715515136719e-05,9.806682348251343,0.006103992462158203,9.812786340713501,9.800578355789185,UDP 55959 -> 1900 Len=133,UDP: 4d 2d 53 45 41 52 43 48 20 2a 20 48 54 54 50 2f 31 2e 31 0d 0a 48 4f 53 54 3a 20 32 33 39 2e 32 M-SEARCH * HTTP/1.1..HOST: 239.2,Benign
10.10.128.231-162.159.128.235-7672-443-6,10.10.128.231,7672,162.159.128.235,443,6,2026-03-03 19:12:16,13854423,4,2,362,220,127,54,90.5,36.5,110,110,110.0,0.0,42.00824516928011,0.43307469246680524,6.901014506816864,6.805031027677629,13.749634981155396,0.09072399139404297,13.85442304611206,4.6181410153706866,6.395197484968677,13.66231393814087,0.09072399139404297,13.749634981155396,13.749634981155396,0,13.749634981155396,13.749634981155396,4,4,0,0,160,80,0.28871646164453685,0.14435823082226842,54,127,97.0,31.187604375242845,972.6666666666666,0,0,0,4,6,0,0,0,0.5,97.0,90.5,110.0,160,0,0,0,0,0,0,4,362,2,220,512,16,4,54,0.000278472900390625,0.00017118453979492188,0.0004496574401855469,0.00010728836059570312,13.661864280700684,0,13.661864280700684,13.661864280700684,"TLSv1.x Application Data, 7672 -> 443 [ACK, PSH] Seq=1369986403 Ack=3374577876 Win=512 Len=73","TCP: 17 03 03 00 44 23 35 9f ff ac 46 94 d6 fb 1a 34 22 54 87 26 18 5f 45 06 b6 ab 75 50 40 e0 aa 19 ....D#5...F....4""T.&._E...uP@...",Benign
10.10.129.10-224.0.0.251-5353-5353-17,10.10.129.10,5353,224.0.0.251,5353,17,2026-03-03 19:12:18,20097508,2,0,238,0,119,119,119.0,0.0,0,0,0,0,11.842263690368956,0.09951482092747023,20.097508907318115,0,20.097508907318115,20.097508907318115,20.097508907318115,20.097508907318115,0,20.097508907318115,20.097508907318115,0,0,0,0,0,0,0,0,0,56,0,0.09951482092747023,0.0,119,119,119.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,119.0,119.0,0,56,0,0,0,0,0,0,2,238,0,0,-1,-1,2,119,0,0,0,0,20.105852365493774,0,20.105852365493774,20.105852365493774,MDNS Standard query 0x8 PTR _googlecast._tcp.local.,UDP: 00 08 00 00 00 03 00 00 00 00 00 00 0b 5f 67 6f 6f 67 6c 65 63 61 73 74 04 5f 74 63 70 05 6c 6f ............._googlecast._tcp.lo,Benign
10.10.128.231-123.30.98.120-9003-443-6,10.10.128.231,9003,123.30.98.120,443,6,2026-03-03 19:12:18,4395,3,2,162,138,54,54,54.0,0.0,78,60,69.0,9.0,68244.45167588675,1137.4075279314459,0.0014653205871582031,0.0020244189081336586,0.004328012466430664,0.0,0.004395961761474609,0.0021979808807373047,0.0021300315856933594,0.004328012466430664,6.794929504394531e-05,0.0,0.0,0,0.0,0.0,1,1,0,0,120,80,682.4445167588675,454.9630111725784,54,78,60.0,9.2951600308978,86.4,2,0,1,1,5,0,0,0,0.6666666666666666,60.0,54.0,69.0,120,0,0,0,0,0,0,3,162,2,138,516,501,3,54,0,0,0,0,0,0,0,0,"TLS 9003 -> 443 [FIN, ACK] Seq=299562964 Ack=2406837477 Win=516 Len=0",TCP: No payload data,Benign
10.10.128.231-162.159.133.233-7670-443-6,10.10.128.231,7670,162.159.133.233,443,6,2026-03-03 19:12:18,27857,1,1,55,66,55,55,55.0,0,66,66,66.0,0,4343.601852089592,71.79507193536516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,52,35.89753596768258,35.89753596768258,55,66,60.5,5.5,30.25,0,0,0,0,2,0,0,0,1.0,60.5,55.0,66.0,40,0,0,0,0,0,0,1,55,1,66,511,18,1,55,0,0,0,0,0,0,0,0,TLS 7670 -> 443 [ACK] Seq=1647340462 Ack=1512903106 Win=511 Len=1,TCP: 00 .,Benign
10.10.128.231-10.10.255.255-57621-57621-17,10.10.128.231,57621,10.10.255.255,57621,17,2026-03-03 19:12:19,1,1,0,86,0,86,86,86.0,0,0,0,0,0,86000000.0,1000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,1000000.0,0.0,86,86,86.0,0,0,0,0,0,0,0,0,0,0,0.0,86.0,86.0,0,28,0,0,0,0,0,0,1,86,0,0,-1,-1,1,86,0,0,0,0,0,0,0,0,UDP 57621 -> 57621 Len=52,UDP: 53 70 6f 74 55 64 70 30 6a 3d b6 3b 25 5b 9c 52 00 01 00 04 48 95 c2 03 a5 04 ad df d2 4f 21 0d SpotUdp0j=.;%[.R....H........O!.,Benign
10.10.128.165-224.0.0.251-5353-5353-17,10.10.128.165,5353,224.0.0.251,5353,17,2026-03-03 19:12:19,23017117,6,0,824,0,158,116,137.33333333333334,20.669354663903327,0,0,0,0,35.79944435090885,0.26067556566195765,4.603423404693603,4.494892060052238,12.692393064498901,0.336076021194458,23.017117023468018,4.603423404693603,4.494892060052238,12.692393064498901,0.336076021194458,0,0,0,0,0,0,0,0,0,168,0,0.26067556566195765,0.0,116,158,137.33333333333334,20.669354663903327,427.22222222222223,0,0,0,0,0,0,0,0,0.0,137.33333333333334,137.33333333333334,0,168,0,0,0,0,0,0,6,824,0,0,-1,-1,6,116,0,0,0,0,5.67225843667984,4.42240693901954,12.693014860153198,1.0126571655273438,MDNS Standard query 0x0 PTR _afpovertcp._tcp.local.,UDP: 00 00 00 00 00 04 00 00 00 00 00 00 0b 5f 61 66 70 6f 76 65 72 74 63 70 04 5f 74 63 70 05 6c 6f ............._afpovertcp._tcp.lo,Benign
10.10.127.200-224.0.0.251-5353-5353-17,10.10.127.200,5353,224.0.0.251,5353,17,2026-03-03 19:12:20,1,1,0,103,0,103,103,103.0,0,0,0,0,0,103000000.0,1000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,1000000.0,0.0,103,103,103.0,0,0,0,0,0,0,0,0,0,0,0.0,103.0,103.0,0,28,0,0,0,0,0,0,1,103,0,0,-1,-1,1,103,0,0,0,0,0,0,0,0,MDNS Standard query 0x33 PTR _googlecast._tcp.local.,UDP: 00 33 00 00 00 02 00 00 00 00 00 00 0b 5f 67 6f 6f 67 6c 65 63 61 73 74 04 5f 74 63 70 05 6c 6f .3..........._googlecast._tcp.lo,Benign
10.10.128.195-224.0.0.251-5353-5353-17,10.10.128.195,5353,224.0.0.251,5353,17,2026-03-03 19:12:20,1,1,0,81,0,81,81,81.0,0,0,0,0,0,81000000.0,1000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,1000000.0,0.0,81,81,81.0,0,0,0,0,0,0,0,0,0,0,0.0,81.0,81.0,0,28,0,0,0,0,0,0,1,81,0,0,-1,-1,1,81,0,0,0,0,0,0,0,0,MDNS Standard query 0x0 PTR lb._dns-sd._udp.local.,UDP: 00 00 00 00 00 01 00 00 00 00 00 00 02 6c 62 07 5f 64 6e 73 2d 73 64 04 5f 75 64 70 05 6c 6f 63 .............lb._dns-sd._udp.loc,Benign
10.10.128.213-224.0.0.251-5353-5353-17,10.10.128.213,5353,224.0.0.251,5353,17,2026-03-03 19:12:20,20008360,2,0,238,0,119,119,119.0,0.0,0,0,0,0,11.895027365450243,0.09995821315504407,20.008360862731934,0,20.008360862731934,20.008360862731934,20.008360862731934,20.008360862731934,0,20.008360862731934,20.008360862731934,0,0,0,0,0,0,0,0,0,56,0,0.09995821315504407,0.0,119,119,119.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,119.0,119.0,0,56,0,0,0,0,0,0,2,238,0,0,-1,-1,2,119,0,0,0,0,20.009846210479736,0,20.009846210479736,20.009846210479736,MDNS Standard query 0x78 PTR _googlecast._tcp.local.,UDP: 00 78 00 00 00 03 00 00 00 00 00 00 0b 5f 67 6f 6f 67 6c 65 63 61 73 74 04 5f 74 63 70 05 6c 6f .x..........._googlecast._tcp.lo,Benign
10.10.128.231-162.159.128.235-7849-443-6,10.10.128.231,7849,162.159.128.235,443,6,2026-03-03 19:12:20,13825395,4,2,360,220,126,54,90.0,36.0,110,110,110.0,0.0,41.95178477720614,0.43398398045385667,6.889723539352417,6.801050917944471,13.73349905014038,0.0821380615234375,13.825395107269287,4.608465035756429,6.391856538626454,13.64791202545166,0.0821380615234375,13.73349905014038,13.73349905014038,0,13.73349905014038,13.73349905014038,4,4,0,0,160,80,0.2893226536359044,0.1446613268179522,54,126,96.66666666666667,30.868898407440597,952.8888888888887,0,0,0,4,6,0,0,0,0.5,96.66666666666667,90.0,110.0,160,0,0,0,0,0,0,4,360,2,220,512,16,4,54,3.361701965332031e-05,0,3.361701965332031e-05,3.361701965332031e-05,13.652175664901733,0,13.652175664901733,13.652175664901733,"TLSv1.x Application Data, 7849 -> 443 [ACK, PSH] Seq=514294247 Ack=288466287 Win=512 Len=72",TCP: 17 03 03 00 43 47 23 b3 d3 e6 34 94 05 db 87 09 2f 7c 93 50 5c 71 af cb 49 65 3b 42 a2 b1 7d 5b ....CG#...4...../|.P\q..Ie;B..}[,Benign
0.0.0.0-255.255.255.255-68-67-17,0.0.0.0,68,255.255.255.255,67,17,2026-03-03 19:12:20,22014204,5,0,1710,0,342,342,342.0,0.0,0,0,0,0,77.67711809877564,0.22712607631220946,5.503551244735718,4.612027803039255,12.25981616973877,0.9791429042816162,22.01420497894287,5.503551244735718,4.612027803039255,12.25981616973877,0.9791429042816162,0,0,0,0,0,0,0,0,0,140,0,0.22712607631220946,0.0,342,342,342.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,342.0,342.0,0,140,0,0,0,0,0,0,5,1710,0,0,-1,-1,5,342,0,0,0,0,7.019117673238118,4.395402830950539,12.276831150054932,1.5185565948486328,DHCP Request - Transaction ID 0x2b252621,UDP: 01 01 06 00 2b 25 26 21 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 d2 7e 86 df ....+%&!.....................~..,Benign
